# Created by Octave 3.2.4, Mon Dec 06 09:34:32 2010 CET <janusz@misio1>
# name: dane2
# type: matrix
# rows: 100
# columns: 2
 1 5.826855001923207
 1.01010101010101 5.829496569185942
 1.02020202020202 5.876803259325601
 1.03030303030303 5.890791700758428
 1.04040404040404 5.879994037052173
 1.050505050505051 5.927039751801708
 1.060606060606061 5.964976556654484
 1.070707070707071 5.991237786554493
 1.080808080808081 5.996327011518122
 1.090909090909091 6.024856373143997
 1.101010101010101 6.060401442033314
 1.111111111111111 6.055328323612762
 1.121212121212121 6.092716808272637
 1.131313131313131 6.135631924027249
 1.141414141414141 6.143273964662049
 1.151515151515152 6.172320579775721
 1.161616161616162 6.178153132019003
 1.171717171717172 6.203564268836552
 1.181818181818182 6.239814147559569
 1.191919191919192 6.270275880366628
 1.202020202020202 6.267626219676924
 1.212121212121212 6.289135805182078
 1.222222222222222 6.323012552230082
 1.232323232323232 6.334175346190857
 1.242424242424242 6.383586378236912
 1.252525252525253 6.397169056565958
 1.262626262626263 6.455109001218893
 1.272727272727273 6.44395892700294
 1.282828282828283 6.467992726756028
 1.292929292929293 6.492023613057124
 1.303030303030303 6.51806523555545
 1.313131313131313 6.540613125290643
 1.323232323232323 6.580836231314834
 1.333333333333333 6.616504148696932
 1.343434343434343 6.631798095973011
 1.353535353535354 6.652235496712096
 1.363636363636364 6.660926218959752
 1.373737373737374 6.682507134607315
 1.383838383838384 6.724009605102117
 1.393939393939394 6.752936382640625
 1.404040404040404 6.778075785386773
 1.414141414141414 6.825246353608538
 1.424242424242424 6.832111097883446
 1.434343434343434 6.84860943925061
 1.444444444444444 6.85949502368303
 1.454545454545455 6.8996279107919
 1.464646464646465 6.926552582845369
 1.474747474747475 6.959198961535939
 1.484848484848485 6.995018111558022
 1.494949494949495 6.998386854782241
 1.505050505050505 7.028410148228744
 1.515151515151515 7.054137686975275
 1.525252525252525 7.080335621464815
 1.535353535353535 7.116532137432571
 1.545454545454545 7.161791596859383
 1.555555555555556 7.182958883317205
 1.565656565656566 7.186823078065551
 1.575757575757576 7.226995310352378
 1.585858585858586 7.249027106758261
 1.595959595959596 7.290926007444438
 1.606060606060606 7.315543706740337
 1.616161616161616 7.331521642927664
 1.626262626262626 7.348853126290487
 1.636363636363636 7.376234484448156
 1.646464646464647 7.406621763910421
 1.656565656565657 7.449426533525586
 1.666666666666667 7.474683614207212
 1.676767676767677 7.509561059502384
 1.686868686868687 7.53659592819636
 1.696969696969697 7.549076198239678
 1.707070707070707 7.582591200506552
 1.717171717171717 7.600249848857057
 1.727272727272727 7.653542206164146
 1.737373737373737 7.674931952159624
 1.747474747474748 7.716797509681307
 1.757575757575758 7.730459020612295
 1.767676767676768 7.76683784951175
 1.777777777777778 7.780044509054079
 1.787878787878788 7.830489364224208
 1.797979797979798 7.846927514866344
 1.808080808080808 7.872145314053171
 1.818181818181818 7.913655110829606
 1.828282828282828 7.93178398931187
 1.838383838383838 8.003689177749811
 1.848484848484849 8.004684406023815
 1.858585858585859 8.046328510726351
 1.868686868686869 8.078085158829662
 1.878787878787879 8.104391189843932
 1.888888888888889 8.112456161777459
 1.898989898989899 8.166753316857472
 1.909090909090909 8.177965744726958
 1.919191919191919 8.229173265105663
 1.929292929292929 8.260776325637931
 1.939393939393939 8.278179971176964
 1.94949494949495 8.313976731139926
 1.95959595959596 8.352107619660247
 1.96969696969697 8.367068943147032
 1.97979797979798 8.397717258188756
 1.98989898989899 8.427756360963155
 2 8.458776571582492
